42° 53′ N,8° 46′ W
14° 56′ S,214′ 43′ W
14° 38′
14° 32′ S
13° 46′ S,216° W
13° 2′ S,216° W
12° 38′ S,216° 45′ W
12° 42′ S,127° 15′ W
12° 28′
12°,217° 25′
11° 58′,217° 38′
11° 23′ S,217° 46′ W
10° 36′
10° 37′
10° 42′ S
38°,211° 7′
10½ S
10° 43′ S,219° W
10° 46′ S
10° 33′ S,219° 22′ W
10° 39′ S,218° 36′ W
20°
22°
25° S
32°
24° 46′
24° 30′
10° 30′ S
10° 18′ S,219° 39′ W
10° 10′ S,220° 12′ W
9° 56′ S,221° W
8° 52′ S
8° 13′ S,221° 25′ W
8° 19′ S,221° 44′ W
8° 30′ S,222° 34′ W
6° 15′ S
6° 44′ S,223° 51′ W
7° 25′ S,225° 41′ W
7° 6′ S,225° W
8° 15′ S
9° 30′ S,229° 34′ W
9° 46′ S,232° 7′ W
10° 1′ S,233° 27′ W
8°,228° 10′ W
15° S,228° 10′ W,143° 10' W
8° 30′,233° 54′ W
9° 30′,233° 54′ W
9° 37′ S,233° 54′ W
9° 36′ S
9° 34′S
9° 45′ S,234° 12′W
10° 23′ S,236° 5′ W
10° 15′ S
10° 35′ S,237° 30′ W
10° 47′ S,238° 28′ W
11° 10′ S,240° 38′ W
10° 47′ S,238° 28′ W
10° 51′ S,252° 11′ W
9° 31′ S,254° 10′ W
6° 10′ S,106° 50′ E
6° 49′ S,253° 12′ W
5°,3°
12° S,8°
230°,10° 20′ W
28°,314°
29°,159° 29′
34°,181°
35°½,337°
27° ¾ S
10° S,178° W
10° 40' S,178° W
26° S,146° W
11° S
15° 15' S,136° 30' W
15° S,228° 10′ W,143° 10' W
14° 46' S,144° 10' W
15° 20' S,173° 13' W
15° 43' S,173° 13' W
14° 56' S,179° 30' E
47° S
45° S
15° 47' S,170° W
15° S,228° 10′ W,143° 10' W
13° 41' S,171° 30' W
54° S,11° E
51° S
35° E
40° S
40° 22' S,147° 29' W
54° S,11° E
50° 21' 30" N,4° 20' W
32° 33' 34" N,17° 12-7/8" W
28° 38' N,17° 58' W
27° 42' N,18° 9' W
14° 53' 30" N,23° 30' W
2° 35' N,7° 30' W
0° 52' N,9° 25' W
9° 30' S,18° W
25° 29' S,24° 54' W
35° 20' N,5° E
35° 25' S
39° 4' S,18° 24' E
48° 41' S,18° 24' E
49° 40 S
56° 40' S,2° 0' E
51° 50' S,21° 3' E
54° S,11° E
54° 50' S,21° 34' E
54° 55' S,72° 12' W
55° 8' S,24° 3' E
55° 16' S
55° 8' S,24° 3' E
53° 50' S,29° 24' E
54° 43' S,29° 30' E
55° 20' S,31° 30' E
28° S
56° 31' S,31° 19' E
57° 50' S,29° 32' E
58° 31' S,26° 57' E
58° 19' S,24° 39' E
59° 12' S,19° 1' E
60° 21' S,13° 32' E
59° 12' S,19° 1' E
58° 53' 30" S
59° 2' S
61° 12' S,31° 47' E
62° 44' S,37° E
64° 12' S,38° 14' E
63° 57' S,39° 38.5'
63° 33' S
64° 56' S,39° 35' E
66° 36' 30" S
67° 15' S
64° 12' S,38° 14' E
62° 24' S,42° 19' E
60° 27' S,45° 33' E
58° 10' S,50° 54' E
56° 28' S
56° 9' S
52° 29' S
50° 56' S,56° 48' E
48° 30' S,58° 7' E
48° 36' S,59° 35' E
49° 13' S
48° 56' S,60° 47' E
48° 6' S,58° 22' E
45° 49' S,61° 48' E
49° 53' S,63° 39' E
51° 15' S,67° 20' E
52° 32' S,69° 47' E
53° 7' S,70° 50' E
53° 37' S,72° 10' E
55° 49' S,75° 52' E
57° 2' S,79° 56' E
57° 8' S,80° 59' E
57° 54' S,83° 14' E
58° 2' S,84° 35' E
58° 47' S,90° 56' E
59° S,92° 30' E
61° 52' S,95° 2' E
60° 51' S,95° 41' E
61° 21' S,97° 7' E
60° 36' S,107° 54' E
60° 13' S,110° 18' E
60° 37' S,113° 24' E
60° 44' S,116° 50' E
59° 58' S,118° 39' E
57° 56' S,130° E
58° 56' S,131° 26' E
58° 59' S,134° E
58° 22' S,136° 22' E
59° 17' S,140° 12' E
58° 51' S,144° 10' E
58° 58' S,144° 37' E
59° 7' S,146° 53' E
56° 15' S,150° E
55° 1' S,152° 1' E
54° 4' S,13° E
49° 55' S,159° 28' E
45° 48' S
45° 38' S
53° S,95° E
44° S,140° E
43° 37' S,145° 36' E
43° 39' S,145° 50' E
43° 36' S,147° E
43° 20' S
40° 50' S
40° 50' S
39° 50' S
40° 30' S
39° 50' S
39° S
40° 30' S
46° S,135° W
47° 7' S,173° W
44° 30' S,165° 45' W
44° 38' S,161° 27' W
42° 53' S,163° 20' W
42° 32' S,161° 15' W
53° 3' S,156° 17' W
41° 22' S,156° 12' W
43° 39' S,145° 50' E
43° 44' S,141° 56' W
43° 3' S,139° 20' W
43° 15' S,137° 39' W
42° 39' S,137° 58' W
41° 25' S,135° 58' W
39° 44' S,133° 32' W
27° S,11.5° W
36° 34' S,133° 7' W
32° 30' S,133° 40' W
31° 6' S,134° 12' W
29° 22' S,130° 28' W
29° 51' S,130° 28' W
28° 44' S,135° 30' W
25° 1' S,134° 6' W
46° S,135° W
21° S,131° 32' W
19° 36' S,131° 32' W
17° 24' S,141° 39' W
17° 20' S,141° 38' W
17° 5' S,143° 16' W
17° 4' S,144° 30' W
17° 43' S,149° 13' W
17° 29' 13" S,149° 34' 49.5" W
